review_score,translated_message
3,Delivery on time
5,Fulfilled the promised on the purchase and with a satisfactory delivery
1,I asked for reimbursement and unanswered so far
5,Super fast.
1,Negative Review
5,Positive Review
5,Positive Review
2,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,Satisfied
4,Positive Review
4,Positive Review
5,"are of parabens ... always arrives with a lot of priority ..

Thank you very much...."
3,Neutral Review
5,Positive Review
1,Negative Review
5,Positive Review
5,Ok I recommend
5,Positive Review
3,"Product has arrived, but my PC could not recognize the USB ports."
5,"Product of very good quality, arrived before the promised deadline"
5,Positive Review
5,Positive Review
5,Positive Review
1,"This was the request
Bucket with 128 pieces - Mounting blocks 2 un - R $ 25,00 each (not delivered)
Sold and delivered Targaryen
EVA rug nº Letters 36 Pieces Children 1 UN - R $ 35,90 (this was"
5,"Very fast delivery
Congratulations"
5,Positive Review
5,Positive Review
1,I bought three packages of five leaves each of paper transfer to dark fabric and I only received two
4,Positive Review
4,"Just one product was missing, I received today, thank you!
All very well!

ATT 

Elenice."
1,Negative Review
4,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
5,"The thermal bag besides beautiful is super spacious. Product according to the advertised and the super fast delivery, delivered well before the deadline."
2,It took too long for delivery
5,Positive Review
5,Super fast delivery .... arrived before the date ...
3,The delivery was divided into two. There was no statement from the store. I even thought that they had only sent part of the product.
1,Does not work does not make timing
5,I recommend to all customers
4,Positive Review
3,I liked
5,Positive Review
5,Positive Review
3,Neutral Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,EXCELLENT
5,"I really liked the bath set. The flowery print, the embroidery, all very beautiful. Great product."
4,Positive Review
1,"Just one piece arrived, but in the note and warranty there are both jewelry."
5,Positive Review
3,Neutral Review
4,Positive Review
1,I did not receive the product and it is in the system that I received besides paying dear freight
1,"I bought the clock, unisex and sent a women's watch, much smaller than the ad specifications."
5,I always buy at Lannister.pra me is the best online store
5,Excellent quality product
5,Positive Review
1,Negative Review
5,Positive Review
2,Negative Review
5,Positive Review
4,Positive Review
5,Great cost-benefit
5,OK
5,Positive Review
3,Neutral Review
5,I liked the attention with the delivery
5,Positive Review
5,Positive Review
4,"If it were glass had broken; It came in the box without any protection inside, the box was very mashed. Sorry .. but I like to buy from you
."
1,The piece did not serve
1,I bought the product on February 25th and today Marco 29 had not been delivered to my residence. I don't know if the post office of this Brazil is bad or it was the store itself that took time to post.
1,"I made my purchase 30 days ago and I have not received my product yet.
You need to improve on deliveries"
5,"I hope to receive this week, which would not be so extravagant, but ... more late than that would make me give up Baratheon."
3,Neutral Review
5,Positive Review
5,Positive Review
5,"Delivered on time, I was happy with the purchase I made"
5,Positive Review
4,Positive Review
5,Positive Review
5,Beautiful watch I loved it
5,Positive Review
3,"I bought two pending chandeliers, with partner Targaryen and only sent me a chandelier. I opened complaint, but I have not received an answer yet. I await solution by Lannister stores."
5,Positive Review
3,Neutral Review
4,Positive Review
4,Positive Review
5,Very good high quality!
1,Negative Review
4,Positive Review
5,"Beautiful product, deliver well valued and on time. I recommend it!"
5,Very good
1,Missed 1 product and those I received 1 came broken
5,"It has arrived on time and the product is of excellent quality! The back pain is over, I'm sleeping very well!"
4,Positive Review
4,Positive Review
4,Positive Review
5,Positive Review
3,Neutral Review
1,here is describing as delivered only that so far I have not received
5,"I think tracking the product should be better and more accurate, but overall it was a great experience"
5,I haven't had the opportunity to test yet
5,Positive Review
3,I started using now
5,Positive Review
5,Positive Review
5,Nothing to declare
4,Positive Review
5,Positive Review
3,Buy a correct product on the cover but internal be another. ???????
5,Positive Review
5,Positive Review
3,Super Rapid Delivery
5,Positive Review
3,I made a request of 4 bottles of olive oil. They were 2 on a day and the other 2 almost 48 hours later.
5,The product arrived very fast and of good quality I recommend the product
3,Neutral Review
5,Positive Review
5,Positive Review
1,Negative Review
3,Neutral Review
5,Positive Review
5,Positive Review
1,"I can't! I'm waiting for the arrival of the product I bought! As soon as this happens, I will have my opinion formed!"
1,Negative Review
1,I bought two products and received only one. I sent two emails to the store and had no return. I'm dissatisfied.
5,Positive Review
5,Positive Review
5,Positive Review
3,I would not recommend this store or intend to buy it again. The goods was delivered after the deadline and almost 1 month after purchase. On the Lannister website they usually arrive before the deadline. I was surprised a lot
5,Recommend
4,Met my expectation.
5,Delivery before the deadline. Very practical product and easy to handle.
4,Positive Review
5,Positive Review
3,Neutral Review
4,Positive Review
5,"Great product just didn't come manual, but no problem."
4,"One of the pieces did not fit, was in a different diameter. I had to saw and hammer so I could fit and fit.
Otherwise, all ok."
5,Excellent product.
5,All very well
1,"Delay in delivery, hated the service and never buy again. Baratheon when I sold for themselves it was much better!"
5,Very good product
1,My product has not arrived ... According to the screening is stopped in Ribeirão Preto SP ...
1,Product defective in the first time of use.
5,Positive Review
5,Super recommend quality professional product
1,So far I have not received the product.
5,Positive Review
5,Positive Review
1,The store announces one product and delivers another.
5,very good and fast when I saw it had already arrived
5,Positive Review
5,The product arrived very well
5,excellent
3,"Although it was delivered rapidly, they replaced the meteor box with the Borne Box. When I tried to complain in the Lannister the system is out of the air. The guitar and accessories were correct."
5,Very satisfied
4,Congratulations to the store and reseller despite taking a while
5,Positive Review
5,"Delivered on time, and with a good period of validity."
5,"The towel game is beautiful more beautiful than in the picture, I loved it."
1,Product was delivered with one of the handles with problems (1 missing pin is missing)
5,Positive Review
2,Negative Review
2,The 14/02 was scheduled to deliver the order and in the screening marked that the product had already been delivered on the date but was not in fact delivered. The product was only delivered on 28/02.
2,"Store beyond shipping is very expensive. The product takes almost 30 business days, to arrive at your home"
5,Positive Review
5,Positive Review
5,Positive Review
1,"I received very fast, but came another product, not what I ordered, the model came different, the color, came a case that has no zipper, finally, I do not recommend."
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,I always bought it at Stark and I'm satisfied.
5,I made the purchase by table and thank God everything worked out I can be very grateful can trust.
4,Positive Review
4,Positive Review
1,"Canceled my purchase a day before delivery, I called Lannister and the attendants didn't know what was going on, a mess, now I'm waiting to see if it will be charged"
5,Positive Review
5,Positive Review
5,Quality product and efficiency in delivery. I received long before the agreed. recommend
5,Positive Review
5,Good product came within the deadline arrived in 08 days are to be congratulated.
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
5,"All ok, Baratheon always responsible with their deliveries."
5,Positive Review
1,Negative Review
5,Positive Review
1,The finish that was in the picture was beautiful the one that arrived was an ugly synthetic with an all -smudged finable I didn't like
5,Positive Review
4,Positive Review
3,Neutral Review
1,And very disorderly bought three products but it did not come on the day sertões came separately and on a separate date
5,THE
5,rapid delivery
4,Positive Review
4,it was good
5,Right merchandise delivered within the agreed deadline. Grateful
3,Neutral Review
1,", very bad!"
1,Negative Review
1,It has passed the expected days.
5,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
4,Positive Review
3,When buying the I understood that I would receive 2 bottles of 60 capsules (each) and not 2 flasks with 60 capsules in total. I just won't return it because I need the product.
4,Positive Review
5,Delivery well before the perfect deadline !!
5,Each time I buy more I am satisfied congratulations on the honesty with your customers 👏👏👏👏?
5,Positive Review
5,Positive Review
3,Neutral Review
1,Negative Review
5,very fast delivery and good to buy with you
1,Product I do not recommend not reading in any device
4,"Super fast delivery, congratulations!"
5,Positive Review
5,Positive Review
4,All fast and efficient.
4,Positive Review
4,Positive Review
5,Wonderful cream and super fast delivery
5,Positive Review
5,Positive Review
1,"Trying to cancel the product since before the invoice is issued. I was not warned that I was in the mail, I had no response from the cancellation and I can not return."
4,"Arrived today 
no comments"
1,"Goodnight

It's unfortunate, this store that so many purchases I have already done and today I do not give me a satisfaction of a clock in the importance of 50.00 reais ... A defective product and so far has not given me return"
5,Positive Review
5,Positive Review
5,Very good! What I expected!
2,The protective cover is not exactly what I expected leaves to be desired in the material type and quality.
3,Neutral Review
3,Neutral Review
5,Positive Review
5,Positive Review
3,On the site the product seems to have better material quality and finishing.
5,Positive Review
5,Positive Review
5,Positive Review
5,"I received my product correctly and on time, checking in the box everything is correct, but I have not set up. Beautiful Product, perfect color, we love.
Super recommend."
3,"The packaging left to be desired, the product was narrowly damaged, the box was all wrinkled."
5,Congratulations .Product delivered well before the deadline.
5,I recommend.
3,The cables and the manual missed
5,Positive Review
1,Negative Review
5,Positive Review
4,Positive Review
5,Great arrived well before the deadline.
5,Positive Review
3,Neutral Review
5,Positive Review
5,Delivered within the very good product time.
5,Positive Review
5,Positive Review
2,"The product was packed with brown paper only on the packaging and sent by the post office. Of course, the packaging has arrived kneaded and only God knows if the product is working or not, I haven't tested it yet."
4,Positive Review
5,I think they should send by sedex instead of pac
1,"Last time I buy it because today it will make 1 month I did to buy and nothing, and if it takes time to deliver I will be looking for my rights against Lannister and Targaryen stores."
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Beautiful ... Only missed instructions for the change of bracelets.
4,Positive Review
5,Positive Review
5,"Product exactly as described.
Arrived well before the deadline!"
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,"The product arrived well before the deadline, I loved the service! Super recommend"
1,"I didn't like the product, poor quality material."
1,"Of the two products purchased, only one was delivered!"
1,I don't buy any more at Lannister. If you are Lannister's partner or not this Targaryen never use again. When I read that it's from this company I run. A absurd. Almost a month to deliver. Extra.com ok
3,I received the product correctly
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,"I received the product within the informed deadline, I have not used it yet."
5,Positive Review
4,"The order arrived before the agreed, very good."
4,Product delivered as announced.
5,Positive Review
3,Receive only 01 product part! I need the remaining 2 pieces!
5,Store 10
4,"The guitar I bought is beautiful, but the color of the sticker does not check with the photo of the purchase act, but I took."
4,Positive Review
1,Nor did they do the invoice
5,"Arrived before the deadline!
Excellent product!"
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,I work with professionalism from Lannister stores. I indicate for sure
5,Positive Review
5,Positive Review
3,Neutral Review
1,"The MP3 Player does not work, even changing the stack several times. I had to return."
5,Super recommend the product that is very good!
5,"Very good training, one of the best on the market, if not the best."
4,The store posted the product of and mediated the mail took a while
5,"I always buy on Stark and I am always well attended, efficient site and great quality products, I recommend everyone to buy with eyes closed!"
4,Very good since purchase the delivery td right and fast
5,All ok!
5,Positive Review
3,Neutral Review
1,Negative Review
5,Positive Review
1,Targaryen is not reliable did not deliver my purchase and put in the tracking of the order that was delivered on 14/12/17 Fake Company I want to receive my products that were paid with Bankari ticket
5,Product delivery and quality as expected.
5,Excellent recommend
3,"The bag is very beautiful on the outside
But inside there is no lining 
And it's very fragile"
1,Negative Review
5,Positive Review
4,Positive Review
1,"When I installed the ink cartridge, my printer indicated that it was empty, and presented the error message ""!"" on top of the ink level marker. I already requested the exchange."
4,"Very good, I recommend the product."
5,Positive Review
5,Positive Review
5,As for the site I have nothing to question! Always fulfill super combined ... I always recommend! but the product is weak ..
4,Positive Review
4,good in all aspects
4,Positive Review
3,Neutral Review
5,Positive Review
3,Neutral Review
3,Neutral Review
5,Positive Review
4,Positive Review
5,To this day I am satisfied with SBMarino
5,Positive Review
5,Positive Review
1,The two bought leather covers were not delivered. Just one of them. I await the return of the money or the delivery of the second cover.
5,Positive Review
5,I liked!
4,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
3,"I was happy with. The fabric, but I think the sheet was missing from above to be complete, I hope they soon launch."
5,Arrived before the deadline is the headboard is beautiful.
4,Positive Review
5,Positive Review
3,"There was some confusion between seller and Stark, as I received an email from Stark asking for the cancellation of the product by any unforeseen delivery; I denied it and received the product days later."
3,Neutral Review
4,Positive Review
5,Positive Review
5,10
5,I liked the product arrived at the right time the sellers are to be congratulated
3,Neutral Review
4,Positive Review
5,Excellent service
4,I liked
5,Positive Review
5,Positive Review
1,On May 19 I used and the handle broke without much weight
5,Towel of the greatest champion of Brazil wonderful
5,"The delivery was made long before expected. 
Good product ... I'm satisfied"
1,Negative Review
5,Positive Review
5,Positive Review
5,So far it's okay I'm waiting for product delivery
5,Positive Review
5,"The purchase occurred as expected, from the order to the receipt of the product. Alright right."
5,Positive Review
5,Positive Review
5,Positive Review
5,The product was delivered before the deadline.
4,Positive Review
4,Positive Review
4,"I really liked the product was exactly Boque I expected, delivery on time, congratulations I recommend the store"
5,Positive Review
2,I bought the product black and arrived in red.
5,Positive Review
5,Positive Review
5,Positive Review
5,"This is the second time I buy in this store, super efficient fast delivery and before the contracted deadline, well packed product, note 10
Thank you very much"
4,excellent
4,Positive Review
5,Positive Review
2,I thought the backpack was a more resistant material.
5,Positive Review
2,Negative Review
1,"I bought one product and came another.
I sent msg informing the error but got no answer.
Thanks"
1,Negative Review
1,The product takes a long time to arrive!
4,Positive Review
1,Negative Review
5,Positive Review
3,"We only received a clock

ATT"
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
1,Negative Review
5,"Fast delivery, product as expected"
5,All as announced .... Great product ...
3,"Good quality product, exactly as announced, and the low price is an extra attraction."
1,Only one unit was delivered instead of two.
4,"I loved the product; I received before the agreed deadline, it was very beautiful"
5,Positive Review
5,Very satisfied.
4,Great product but too expensive !!!
5,Positive Review
5,"Great products, fast delivery.
Super recommend !!!"
4,Positive Review
2,yes I received more with defects the fittings are two equal and do not close
4,Positive Review
5,Positive Review
1,I haven't received it yet
5,I had an excellent after sales through Mr Renato
5,Positive Review
5,"I really liked the product, the delivery came before the deadline. I recommend it, it is well fitted on the phone, does not take the elegance of the device, like other covers that make it monstrous with the size."
5,Very good
1,"So far I have not received this device for a health question, so I do not recommend this store."
5,Positive Review
4,Positive Review
5,"I recommend to all. Great quality product, delivered without problems."
5,Positive Review
5,Product arrived on time. It came as described and is excellent.
5,Positive Review
4,"The product arrived before the deadline, and I liked it a lot !! Now my 3 year old boy will enjoy the maximum !!"
1,"I would like to know when my product will arrive?
Because the scheduled delivery date has passed, I would like an answer I'm waiting!"
4,NOTE 10 STORE
5,Positive Review
5,Congratulations. I received it before the deadline. All correct as it was agreed.
1,"The product delivered differs from the order
It is a lower product!
I would like the problem to be solved!
I am not satisfied with procedure!"
5,Very good indeed!
2,"I bought the product, paid on the ticket and only received half the product, announced one thing is sent another. Very dissatisfied 😡😡😡"
5,Delivery before the very well maintained product deadline.
5,Great quality product. I loved!
5,Positive Review
5,Positive Review
5,"Despite the delay in issuing the invoice, after the delivery was issued was quick and the product came well packed. I recommend."
5,Positive Review
2,I bought the product day in early March and did not receive on time opening to a protocol to solve my situation
1,"I did not receive the product, as well as no contact from the."
5,Positive Review
4,Positive Review
1,I don't even grind up :(
5,NOTE 10
3,Waiting for the installer
2,"I bought a product to be delivered by this store
And I haven't received it yet
because the delivery date has already passed"
5,Great service
4,"Great purchase. Great product. I only missed a statement between the purchase and the arrival of the product, only contact. But it was worth it."
1,came according to the post sales the after sales did not answer any of my questions
5,Positive Review
5,Positive Review
1,"I bought two backpacks, I received only one, Christmas is coming and so far nothing!"
4,Positive Review
5,Perfect
3,"The price was great, the delivery time that is long (more than 1 month to deliver). I bought 2 cartridges and delivered only 1, complained and sent the other still within the delivery time."
5,Positive Review
1,Negative Review
5,"Deadline was extended, but delivered within the period released in the advertising. Chair according to photo, comes to assemble, easier and more beautiful"
5,"Simply beautiful !!
I loved the product !!
Perfect size !!
I've bought several products, I've been buying in Baratheon for years !!"
5,Positive Review
5,Positive Review
4,VERY GOOD! Arrived on time.
5,Positive Review
5,"Great, price, delivered before the deadline and product of great quality."
2,"I bought a Christmas gift watch for my son and so far it has not arrived. I sent messages and in the last conversation the watch would arrive yesterday, but I received nothing."
5,Positive Review
5,Positive Review
5,I could only deliver faster end of the year
5,Positive Review
5,"Great sale, everything perfect."
4,Positive Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Great quality product !! Arrived before the expected time. Loved <3
5,Positive Review
5,"It came well packed, quick shipping!"
5,Positive Review
5,I am very pleased with my purchase and the receipt of the product; On time!
5,Positive Review
3,"So far I have not received anything, the quilt was scheduled for the day before yesterday (18/12) and so far nothing"
4,Positive Review
1,"The brushes came crumpled, does not match some photos, but matches the description. They are weak, do not fit the case and a cool coming"
5,Product corresponding to my expectations! It was delivered before the established deadline!
1,Negative Review
5,Positive Review
4,Positive Review
4,I indicate the store always buy at Lannister.
3,Neutral Review
1,"The product came different from q shows in the photo, is not luxury, nor padded as it said."
3,Neutral Review
5,Positive Review
5,"It was all normal, as is a purchase by internet. Thanks."
5,Positive Review
5,Positive Review
4,Good purchase.
4,Positive Review
4,Positive Review
5,Positive Review
4,"Product arrived on time. It meets the cost benefit, but the bag is not lined and the handle is plastic. I am satisfied."
3,Neutral Review
5,I am fully satisfied with my acquisition. And recommend it. The only thing I do not agree with is the shipping cost. Author.
1,Negative Review
3,I bought 02 only sent 01
5,Positive Review
2,"It seems that it keeps the food well without withering (potato chips) but the lid is strange, it seems that it does not close. And the tam's stainless steel is ugly."
5,Positive Review
1,"I am waiting for an answer to this day, about my products, have been paid and I have not received them, there were 03 equal and I need to talk to people and not machine or recordings."
5,Positive Review
1,Negative Review
5,Positive Review
5,Delivery and perfect product!
4,Positive Review
5,Congratulations 😤 for the excellent quality service.
5,Positive Review
5,Positive Review
4,Product delivered in advance.
5,Positive Review
5,I liked to buy I received the product before the deadline and good quality. I recommend.
5,Positive Review
3,Neutral Review
5,"Super recommend, Stark always arriving before the forecast DTA = D"
4,Post Office did not deliver
4,Positive Review
4,"Delivery made on time and product on perfect condition
Congratulations to the team"
3,I haven't received the product yet
1,"I would like to receive the correct products, I tried to make the exchange for the return of money on the card, but the Lannister website does not allow it to be made."
5,"Perfect product, fast delivery. I am very satisfied. 👏🏽"
5,Positive Review
1,"My product came defective, I returned as informed. Posting in the mail as indicated. And to this day I have not received any notification from the company regarding the return and analysis to have my repayment"
5,The request arrived before the deadline. Thanks.
1,We only received 1 cartridge we have already opened complaints on the site and have not yet received an answer.
5,Positive Review
4,"High quality product. Description Makes with the product
Delivered at the right time.
I recommend."
1,The table top arrived all wrinkled and beaten.
2,"On time to time, they could expedite as in my other product that was delivered in 2 days."
5,Positive Review
5,Positive Review
1,Negative Review
5,The clock is beautiful and the delivery was very fast. I recommend it!
4,Positive Review
5,Positive Review
5,Positive Review
5,"I loved! Small, easy to use, does not scratch and clean the skin .. I recommend"
1,Negative Review
5,"As always, excellent service."
5,Positive Review
1,So far I don't receive the product
5,Positive Review
4,As always Lannister delivers right
5,Positive Review
5,Positive Review
5,"Perfect product, arrived before the deadline!"
5,Positive Review
5,"Very good the product, better than expected and was delivered on time, I really liked it."
1,Very good product and price charged!
5,Positive Review
5,SDDS
5,Very good product.
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Delivery on time is important.
5,"I really liked it, the object came the same bought, I already bought in other stores and came another color ñ liked it! With Lannister everything ok."
5,Positive Review
3,"The device has arrived with defect, is not presenting all functions in the digital display."
5,Positive Review
2,The product is not in the correct measures indicated in the offer. I will have to call you to exchange
1,Awaiting an urgent return.
4,Positive Review
1,"Product more than the time to deliver, I try to solve the problem with the company and I can't talk to anyone. All they do is pass me to complain in a system that doesn't work."
5,Positive Review
3,I only received one product. It is reported that I already received both. I didn't receive the shoe rack.
5,Positive Review
1,They gave a very long deadline for the delivery of the product and could not deliver
2,Excellent product I indicate to anyone.
5,All right delivery on the optimal time.
5,Positive Review
4,Positive Review
5,Positive Review
1,I didn't receive the product. And now?
4,Positive Review
2,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
3,Arrived wrinkled ...
5,Positive Review
5,Positive Review
4,Positive Review
4,Positive Review
4,I recommend it!
5,Positive Review
1,"I bought rubber rug for TR4 mitsubishi the store delivered a horrible pvc carpet
In the title ta rug rubber tr4,
They deceive me and now what to do being that there is expense for returning, for"
4,Positive Review
5,Great perfume. Wonderful fragrance. Recommend
5,Positive Review
5,Positive Review
4,Very good and fast and the product came in good condition now and even do the tests!
5,The product exceeded my expectation. The delivery time was anticipated in 7 days. I already installed and was show.
5,Positive Review
4,Positive Review
4,Positive Review
5,rapid delivery
5,Positive Review
4,Positive Review
5,"Delivery forecast until 18/10, I received on 10/05, excellent."
5,Positive Review
3,I requested return. Defective product
5,Shop itself is good pity the American not customer support
5,Positive Review
5,Exactly what I needed
3,"I found the quality of the product very bad, no bush or screw came to fix on the wall."
5,"Thank you, you arrived very fast"
5,Positive Review
4,Positive Review
4,The only problem is that the date marking is the American marking.
4,I think the product should have a longer expiration date.
3,Neutral Review
3,Neutral Review
5,Positive Review
1,Negative Review
5,"Delivery before the deadline, I recommend this store."
5,Positive Review
1,Negative Review
5,show
1,Negative Review
3,Good night Lannister stores are great I love the site today I make very little purchase for freight abuse unfortunately does not pay as before but we need to buy thanks
1,Negative Review
4,Positive Review
1,Negative Review
1,Negative Review
5,Positive Review
4,Positive Review
5,Positive Review
4,Positive Review
5,"Excellent product, beautiful and sophisticated."
4,The invoice did not come
5,"Thank you very much, because I received the correct product as found on the site, the delivery was super fast. I was very pleased and I will definitely refer to the friend."
5,Fast delivery product as advertised
5,Positive Review
5,Positive Review
1,"My product has not yet been delivered, I've made my complaint and so far I haven't had any delivery forecast. I'm super dissatisfied and I want my money back. Went to denounce to Procon."
1,The curtain is not the model I ordered. |
3,The impression is coming out with weak paint ...
5,Positive Review
5,Positive Review
1,I bought pink with white arms and deliver all black?
1,I need a forecast.
5,I am very satisfied arrived before the deadline I recommend
5,Positive Review
4,Product arrived before the deadline and fully met my expectations.
5,Positive Review
3,Neutral Review
4,"Delivery on time, product without any problem"
5,Positive Review
5,good
5,Good quality and price.
5,Positive Review
5,Positive Review
3,Neutral Review
3,Neutral Review
5,Always deliver before the deadline.
5,Positive Review
5,Positive Review
5,Positive Review
5,very good.super I recommend. Always right.
3,"Good guys, the Lannister attendant was very attentive but the store that should have given me the product canceled to buy ??? What happened ???"
5,Positive Review
5,Delivered before the deadline! Perfect product!
5,Positive Review
5,"I recommend it to everyone, I had no problem, goods and great deadlines."
5,I liked to have bought this store. Perfect service.
4,Positive Review
5,Positive Review
3,"I bought a chair, received on time, but the chair came broken at the bottom. Could be more careful in the packaging."
5,I always buy and always receive the right product within or before the deadline
5,Positive Review
5,Very fast delivery
5,Positive Review
5,Positive Review
5,Positive Review
5,The product was delivered well before the deadline.
4,Positive Review
5,I haven't installed it yet I liked it a lot
5,Positive Review
5,Good product. Quick delivery. Recommend
5,Positive Review
5,Product received on time and in perfect condition.
5,very good
5,Positive Review
5,Positive Review
1,"I received another doll, I want to return and I can't contact it! I would never buy this store again!"
3,"great purchase
But freight does not pay, weighs in the budget.
should have free shipping"
5,N/A
4,"The product arrived as I imagined, for now I'm enjoying"
5,Positive Review
5,Positive Review
5,Great quick delivery thanks
5,Positive Review
2,I think there should be a way of communicating with the company if it happened to be delivered not to be delivered
5,"Good product, good time ..."
5,Positive Review
5,Very good. It is already the second object I buy and received without any problem
3,Neutral Review
5,Beautiful and good quality. I loved
5,Positive Review
5,Positive Review
5,The product arrived before the deadline.
4,Positive Review
2,Negative Review
5,Positive Review
4,Positive Review
5,Positive Review
4,Positive Review
1,"Good night, I didn't like it because we can never talk to you over the phone"
5,SELLER COMMITMENT OF THE CUSTOMER
4,Positive Review
1,Negative Review
3,"The product did not meet my expectations, because the pots are difficult to open and close and the tray where the pots go with rust points"
5,Positive Review
5,Positive Review
4,Positive Review
4,Positive Review
5,Very satisfied surrender super fast .. show .. congratulations .. I hesitated and bought a cell phone in Casas Bahia has almost a month and did not deliver ..
5,Positive Review
4,Positive Review
3,Neutral Review
5,excellent
5,All one hundred and within the deadline
3,Neutral Review
1,I did not receive the game in tobacco color. Just the red.
5,Positive Review
1,"It was not delivered to my house, so I didn't like it, I don't have time to go to the post office .."
4,Positive Review
5,Perfect purchase.
5,Positive Review
3,Neutral Review
5,Positive Review
5,Positive Review
3,Neutral Review
1,The product came spoiled
4,Positive Review
4,Positive Review
1,"My merchandise was not delivered, I already paid the first invoice I want to cancel the purchase because I paid the freight and did not receive the goods."
1,Product has already arrived with defects not fucked according to my need for use. Unfortunately last buy my totally dissatisfied.
5,Positive Review
5,Positive Review
3,"I received only 1 box with 100 units, and ordered 2 boxes."
5,Positive Review
5,Positive Review
1,I bought two pendants only one arrived. Do I need to know what happened?
4,I recommend this store delivery right
4,"Everything according to and delivers very fast !!!! What a pity I did not check the color, because it was black and needed gray. Another point that I had to sand little to work, but nothing much."
5,Positive Review
5,Positive Review
5,Fast and correct delivery
4,Product easy to assemble and perfectly serves the purpose to optimize space.
4,Positive Review
4,Positive Review
1,Product came with wrinkles and is not working properly either.
4,I liked the product
5,Positive Review
5,Positive Review
5,Great Quality Product
3,Neutral Review
5,Positive Review
1,I've been waiting for over twenty days and I haven't received my product yet and I can't get any information.
5,Positive Review
5,Positive Review
1,I am waiting for the company to return the product.
1,Negative Review
5,Positive Review
5,Positive Review
1,Supplier did not send the correct product. I requested the chocolate flavor and was sent another flavor.
5,I recommend this store.
5,Positive Review
5,Positive Review
5,Great product.
5,Positive Review
5,Excellent
4,Positive Review
